Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Sample_Number
SRR18340978,RNA-Seq,202,5073660462,PRJNA729801,SAMN26732454,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1617806830,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-05,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",wastewater,influent wastewater,Composite wastewater,SRX14477193,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_5_20,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-08-03T00:00:00Z,2022-03-18T23:57:00Z,1,ESC_10_5_20,SRP319776,
SRR18341017,RNA-Seq,202,4060690456,PRJNA729801,SAMN26732453,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1299905029,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-26,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",wastewater,influent wastewater,Composite wastewater,SRX14477154,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_26_20,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-08-03T00:00:00Z,2022-03-18T22:59:00Z,1,ESC_10_26_20,SRP319776,
SRR18341028,RNA-Seq,202,4788826726,PRJNA729801,SAMN26732452,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1548007793,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-19,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX14477143,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_19_20,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-08-03T00:00:00Z,2022-03-19T04:28:00Z,1,ESC_10_19_20,SRP319776,
SRR18341039,RNA-Seq,202,2223074236,PRJNA729801,SAMN26732451,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",713796263,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-12,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",wastewater,influent wastewater,Composite wastewater,SRX14477132,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_12_20,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-08-03T00:00:00Z,2022-03-18T23:00:00Z,1,ESC_10_12_20,SRP319776,
SRR18341080,RNA-Seq,202,8945337902,PRJNA729801,SAMN26732456,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",2959387363,UNIVERSITY OF CALIFORNIA: IRVINE,2020-11-02,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX14477091,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_11_2_20,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-08-03T00:00:00Z,2022-03-19T00:23:00Z,1,ESC_11_2_20,SRP319776,
SRR19606889,Targeted-Capture,202,1090894334,PRJNA729801,SAMN28949995,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",343896095,UNIVERSITY OF CALIFORNIA: IRVINE,2020-11-02,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",wastewater,influent wastewater,Composite wastewater,SRX15658239,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_11_2_20_enriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2023-04-14T00:00:00Z,2022-06-09T22:51:00Z,1,ESC_11_2_20_enriched,SRP319776,10
SRR19606932,Targeted-Capture,202,1137267676,PRJNA729801,SAMN28949993,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",351954242,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-05,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",wastewater,influent wastewater,Composite wastewater,SRX15658217,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_5_20_enriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2023-04-14T00:00:00Z,2022-06-09T22:52:00Z,1,ESC_10_5_20_enriched,SRP319776,8
SRR19606954,Targeted-Capture,202,421273828,PRJNA729801,SAMN28949992,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",130769836,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-26,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",wastewater,influent wastewater,Composite wastewater,SRX15658206,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_26_20_enriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2023-04-14T00:00:00Z,2022-06-09T22:50:00Z,1,ESC_10_26_20_enriched,SRP319776,7
SRR19607206,Targeted-Capture,202,768231856,PRJNA729801,SAMN28949991,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",240189588,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-19,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",wastewater,influent wastewater,Composite wastewater,SRX15658083,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_19_20_enriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2023-04-14T00:00:00Z,2022-06-09T22:51:00Z,1,ESC_10_19_20_enriched,SRP319776,6
SRR19607228,Targeted-Capture,202,64684440,PRJNA729801,SAMN28949990,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",20131825,UNIVERSITY OF CALIFORNIA: IRVINE,2020-10-12,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",wastewater,influent wastewater,Composite wastewater,SRX15658072,USA,North America,USA: California,Illumina NovaSeq 6000,33.105224 N 117.113170 W,ESC_10_12_20_enriched,PAIRED,cDNA,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2023-04-14T00:00:00Z,2022-06-09T22:49:00Z,1,ESC_10_12_20_enriched,SRP319776,5
